method,ndcg@10,recall@10,recall@100,mrr@10,rerank_coverage,est_latency_ms_per_query
BM25,0.6522849449944165,0.7756666666666666,0.8730555555555556,0.6183650793650793,0.0,0.0
Dense / SciNCL,0.5639501931097409,0.7233333333333334,0.9082222222222222,0.5223505291005291,0.0,0.0
Hybrid RRF,0.6583068904882958,0.8146111111111111,0.9560000000000001,0.6156931216931216,0.0,0.0
"Selective rerank (score-gap, headline)",0.6923813827864338,0.8186111111111112,0.9560000000000001,0.6611071428571429,0.6633333333333333,18.10139554666829
Selective rerank (config default OR-rule),0.6977030039210801,0.8286111111111112,0.9560000000000001,0.6649126984126984,0.8233333333333334,22.467561306668685
Always-Rerank,0.6939032026418439,0.8286111111111112,0.9560000000000001,0.6604166666666667,1.0,27.28853600000245
